0,fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
0,WeltonLondon,weltonlondon,CHRISTIAN LACROIX,Candle,Décor,Design,M&O Paris Sep 2018,,1,3419.61764175188,3475.82663672845,,,,,,,,,,,-0.0891876271173,-0.041278964133291,,,,,,
1,marcvidalsarl,,MARC VIDAL,Game,Gifts,Stationery,M&O Paris Sep 2018,,2,332.78789452104,376.709749248829,12.1165736791887,1.07645960681592,5.35531861277764,2,,,,,,,0.111120185718212,0.237257716656289,-0.001932338614123,0.006099781142647,-0.000112537567655,,,
2,,smartshow001,SmartShow,Lifestyle,Bottles Aug,Drinkware,,,3,,,,,,,1217.18505834543,741.803871786738,64,,,,,,,,,-0.136791792160084,,
3,Playhao,playhao,PlayHao,Kids,Toy,Siblings,,,4,2349.58346737289,2423.39923711237,,,,,62,1375.05171011477,355.096088789183,-2.80608922325343,0.288426098713907,-1.02818364258792,0.10680000369637,0.13145427085376,,,,1.2681463229263,-0.019523142102388,-0.128808620165585
4,myhjem,myhjem,HJEM,Candles,Lifestyle,,,,5,1536.87061192269,1614.86324726809,42.3861059510972,1.93096173277114,6.26864744736531,1.43682901986351,1042.06700582533,1525.69129474821,989.856002673347,59.0675314885175,2.20724587640867,59.3076587462499,0.05063147530826,0.056895440519482,-0.011195044717408,0.003819743624753,0.003209791185491,0.543093054860589,-0.000203681619785,0.007724748028456
5,hkgleeman,,Leatherweight,Lifestyle,Home,Tech,,,6,137.09425081038,146.115878670734,,,,,,,,,,,-0.082393020951432,-0.082290262069873,,,,,,
6,sudtradingcompany,,SUD TRADING COMPANY,Décor,Design,Fashion,M&O Paris Sep 2018,,7,186.027741018451,205.130049792435,,,,,,,,,,,0.04541501089343,0.046147136493275,,,,,,
7,touchablebangkok,,TOUCHABLE,Furniture,Lighting,Accessories,M&O Paris Sep 2018,,8,261.304128849534,274.545366034512,2.32752479932899,-0.346636414251171,6.34082378991785,0.848002694056649,,,,,,,0.10486441620632,0.124685417288669,-0.011505095228064,-0.090730348660113,-0.013153521436767,,,
8,,kifuparis,KIFU PARIS,Furniture,Home,Décor,M&O Paris Sep 2018,,9,,,,,,,0,2159.92937659643,751.941634192897,14.0624215924671,0.882427645205561,35.5491949235439,,,,,,4.60867581249885,0.006998527301557,0.108617443345343
9,BLACKDesignTW,,Black Design,Lifestyle,Glamping,Outdoor,,,10,24748.3537415889,25815.4469750095,,,,,,,,,,,9.57455334905193,10.5146746656259,,,,,,
10,,embravasports,Embrava,Lifestyle,Bottles Aug,Health,,,11,,,,,,,4561.05565323475,6149.25003213042,839.256357457657,76.7733115801689,0.872418874510226,167.454477031896,,,,,,-0.243875164569527,-0.00263879721458,-0.04557856703776
11,mauntainmania,,Mountain Mania,Sports,Clothing,Glamping,,,12,696.933576200605,692.931670564929,,,,,,,,,,,-0.025916152824111,-0.025916043572174,,,,,,
12,BannorToys,bannortoys,Bannor Toys,Kids,Toy,Siblings,,,13,29266.9310719136,29122.7079925591,83.6152304786535,3.19912724728376,13.7969901962088,4.19711779104963,488.319209410031,170388.498014477,6531.24808931661,228.534752588016,65.1971360408781,385.504583689937,4.37895457100334,4.81422935249078,-0.047337855929434,-0.082646914085171,0.017143777411729,126.790734505832,-0.256390797733377,-0.635971873675926
13,LilCreatures,lilcreatures,Lil' Creatures,Lifestyle,Kids,,,,14,5601.67568233039,5629.23019312014,,,,,2830.40428580384,8292.0314126542,1070.46218995133,31.7489201433389,4.60890405866085,106.710594287781,-0.224535766587742,-0.197718931025899,,,,4.06862663528169,-0.002964935865162,0.618029966216084
14,ANOQ,anoq,ANOQ,Home,Candles,Décor,M&O Paris Sep 2018,,15,350.003839910209,365.595240110305,6.8384251199664,3.04172171687698,10.7029267926968,2.96989331277784,,,,,,,0.012589610762012,0.048766413808358,0.013411268379458,-0.001588743646825,0.003619679616265,,,
15,,luett_shop,Luett,Kids,Toy,Siblings,,,16,,,,,,,844.336001094293,3070.31716325641,533,,,,,,,,,-2.40679040601114,,
16,,urbanoleecopark,URBUN OLE ECO PARK,Wooden,Design,Glamping,,,17,,,,,,,766.68598573454,522.659726347922,985.598931734062,34.40400527595,0.894135060384128,36.9136192100768,,,,,,0.344618927003303,0.000483523859658,-0.017984399464748
17,teixidors,,TEIXIDORS,Lifestyle,Scarves,Design,M&O Paris Sep 2018,,18,4299.78374944849,5035.23861355405,,,,,,,,,,,0.56927426109592,0.634723632953271,,,,,,
18,,teapeopleus,Teapeople,Lifestyle,Bottles Aug,Drinkware,,,19,,,,,,,666.586305968944,3841.64662858803,511,3.6530612244898,-15.9795918367347,34.9084671046739,,,,,,2.05814220921512,-0.793072662095123,-0.780233031255513
19,serabeena,,Serabeena,Kids,Educational,Siblings,,,20,168.210010276908,179.260874211279,,,,,,,,,,,0.049810875455307,0.050701217261235,,,,,,
20,domedeco,domedeco,DÔME DECO,Furniture,Home,Design,M&O Paris Sep 2018,,21,18514.955235926,18730.2050015375,,,,,1648.52842726273,11201.3601477715,684.66683743589,42.0685336683872,1.57957938413222,132.193854185972,0.215752637375959,0.710986683529755,,,,11.7025820896097,0.002364857370588,0.286316291195423
