fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
WeltonLondon,weltonlondon,CHRISTIAN LACROIX,Candle,Décor,Design,M&O Paris Sep 2018,,1,3419.61764175188,3475.8266367284496,,,,,,,,,,,-0.0891876271173,-0.041278964133291005,,,,,,
marcvidalsarl,,MARC VIDAL,Game,Gifts,Stationery,M&O Paris Sep 2018,,2,332.78789452104,376.709749248829,12.116573679188699,1.07645960681592,5.35531861277764,2.0,,,,,,,0.111120185718212,0.237257716656289,-0.001932338614123,0.0060997811426469995,-0.000112537567655,,,
,smartshow001,SmartShow,Lifestyle,Bottles Aug,Drinkware,,,3,,,,,,,1217.1850583454302,741.803871786738,64.0,,,,,,,,,-0.136791792160084,,
Playhao,playhao,PlayHao,Kids,Toy,Siblings,,,4,2349.5834673728896,2423.39923711237,,,,,62.0,1375.05171011477,355.09608878918294,0.0,0.28842609871390695,0.0,0.10680000369637,0.13145427085376,,,,1.2681463229263,-0.019523142102388,-0.128808620165585
myhjem,myhjem,HJEM,Candles,Lifestyle,,,,5,1536.8706119226902,1614.86324726809,42.3861059510972,1.9309617327711401,6.268647447365309,1.43682901986351,1042.06700582533,1525.6912947482099,989.856002673347,59.0675314885175,2.20724587640867,59.30765874624989,0.05063147530826,0.056895440519482,-0.011195044717408002,0.0038197436247529998,0.0032097911854909993,0.543093054860589,-0.000203681619785,0.007724748028456
hkgleeman,,Leatherweight,Lifestyle,Home,Tech,,,6,137.09425081038,146.115878670734,,,,,,,,,,,-0.08239302095143201,-0.082290262069873,,,,,,
sudtradingcompany,,SUD TRADING COMPANY,Décor,Design,Fashion,M&O Paris Sep 2018,,7,186.027741018451,205.130049792435,,,,,,,,,,,0.04541501089343,0.046147136493274996,,,,,,
touchablebangkok,,TOUCHABLE,Furniture,Lighting,Accessories,M&O Paris Sep 2018,,8,261.304128849534,274.54536603451197,2.3275247993289905,0.0,6.34082378991785,0.8480026940566491,,,,,,,0.10486441620632,0.12468541728866901,-0.011505095228064,-0.09073034866011301,-0.013153521436767,,,
,kifuparis,KIFU PARIS,Furniture,Home,Décor,M&O Paris Sep 2018,,9,,,,,,,0.0,2159.92937659643,751.941634192897,14.0624215924671,0.8824276452055609,35.549194923543894,,,,,,4.608675812498849,0.006998527301556999,0.108617443345343
BLACKDesignTW,,Black Design,Lifestyle,Glamping,Outdoor,,,10,24748.3537415889,25815.4469750095,,,,,,,,,,,9.57455334905193,10.5146746656259,,,,,,
,embravasports,Embrava,Lifestyle,Bottles Aug,Health,,,11,,,,,,,4561.05565323475,6149.25003213042,839.256357457657,76.77331158016891,0.8724188745102259,167.454477031896,,,,,,-0.243875164569527,-0.00263879721458,-0.045578567037760004
mauntainmania,,Mountain Mania,Sports,Clothing,Glamping,,,12,696.933576200605,692.931670564929,,,,,,,,,,,-0.025916152824111,-0.025916043572174,,,,,,
BannorToys,bannortoys,Bannor Toys,Kids,Toy,Siblings,,,13,29266.931071913597,29122.707992559102,83.6152304786535,3.1991272472837595,13.796990196208801,4.19711779104963,488.31920941003096,170388.498014477,6531.24808931661,228.534752588016,65.1971360408781,385.50458368993696,4.37895457100334,4.814229352490781,-0.047337855929434,-0.08264691408517098,0.017143777411728997,126.790734505832,-0.256390797733377,-0.635971873675926
LilCreatures,lilcreatures,Lil' Creatures,Lifestyle,Kids,,,,14,5601.6756823303895,5629.23019312014,,,,,2830.4042858038397,8292.0314126542,1070.4621899513302,31.7489201433389,4.608904058660849,106.71059428778099,-0.22453576658774202,-0.197718931025899,,,,4.0686266352816896,-0.0029649358651620003,0.618029966216084
ANOQ,anoq,ANOQ,Home,Candles,Décor,M&O Paris Sep 2018,,15,350.00383991020897,365.59524011030504,6.838425119966401,3.04172171687698,10.7029267926968,2.96989331277784,,,,,,,0.012589610762012,0.04876641380835801,0.013411268379458,-0.0015887436468250001,0.003619679616265,,,
,luett_shop,Luett,Kids,Toy,Siblings,,,16,,,,,,,844.336001094293,3070.31716325641,533.0,,,,,,,,,-2.4067904060111402,,
,urbanoleecopark,URBUN OLE ECO PARK,Wooden,Design,Glamping,,,17,,,,,,,766.68598573454,522.659726347922,985.598931734062,34.40400527595,0.8941350603841279,36.913619210076796,,,,,,0.34461892700330293,0.0004835238596580001,-0.017984399464748002
teixidors,,TEIXIDORS,Lifestyle,Scarves,Design,M&O Paris Sep 2018,,18,4299.78374944849,5035.23861355405,,,,,,,,,,,0.56927426109592,0.6347236329532709,,,,,,
,teapeopleus,Teapeople,Lifestyle,Bottles Aug,Drinkware,,,19,,,,,,,666.586305968944,3841.6466285880297,511.0,3.6530612244897998,0.0,34.9084671046739,,,,,,2.05814220921512,-0.793072662095123,-0.780233031255513
serabeena,,Serabeena,Kids,Educational,Siblings,,,20,168.210010276908,179.260874211279,,,,,,,,,,,0.049810875455307,0.050701217261235,,,,,,
domedeco,domedeco,DÔME DECO,Furniture,Home,Design,M&O Paris Sep 2018,,21,18514.955235926,18730.2050015375,,,,,1648.52842726273,11201.360147771498,684.6668374358901,42.068533668387204,1.5795793841322199,132.19385418597201,0.21575263737595898,0.710986683529755,,,,11.702582089609699,0.0023648573705879997,0.28631629119542307
Thomas,,THOMAS EYCK,Décor,Design,Tableware,M&O Paris Sep 2018,,22,953.708636253549,1014.64621055518,2.9745798624385698,1.0,16.5022709176281,3.0,,,,,,,0.023571066500115003,0.056181933891115005,0.0,-0.054378503177083,0.000430336136054,,,
,selecthome,SELECT HOME ACCESSORIES,Home,Accessories,Handmade,M&O Paris Sep 2018,,23,,,,,,,1.08583089389729,12468.188460281499,233.97765593213902,0.0,3.6488072405475402,132.66505476812299,,,,,,4.8490627724535305,0.043819762043113,0.809224275457808
kizingokids,kizingokids,Kizingo,Kids,Feeding,Parenting,,,24,1613.71741667568,1695.7159855818,,,,,2680.81775080885,7170.93752593443,1447.60464585325,62.307557387561204,3.58356298443578,22.3221519629582,-0.15395260644599,-0.146249808703057,,,,2.73333831656743,0.008195587337426,0.052047419244388
,lovi_finland,LOVI,Wooden,Design,Décor,M&O Paris Sep 2018,,25,,,,,,,603.930465781041,8227.94039282692,247.924839463036,16.2031448974364,11.993716894139302,370.524947184551,,,,,,12.6057230798584,0.053883336787085005,0.840581789889114
nauclothingjapan,,nau,Clothing,Accessories,Glamping,,,26,31554.127432461602,31563.1272338319,,,,,,,,,,,-1.31005652411026,-1.31005647540152,,,,,,
