brand,brandID,cat_1,cat_2,cat_3,cat_4,country,fb_avg_comments_num,fb_avg_comments_num_growth,fb_avg_comments_num_merged,fb_avg_likes_num,fb_avg_likes_num_growth,fb_avg_likes_num_merged,fb_avg_shares_num,fb_avg_shares_num_growth,fb_avg_shares_num_merged,fb_engagement,fb_followers,fb_followers_growth,fb_followers_merged,fb_likes,fb_likes_growth,fb_likes_merged,fb_score,fb_username,final_score,ig_avg_comments_num,ig_avg_comments_num_growth,ig_avg_comments_num_merged,ig_avg_likes_num,ig_avg_likes_num_growth,ig_avg_likes_num_merged,ig_engagement,ig_followers,ig_followers_growth,ig_followers_merged,ig_score,ig_username
OLSSON & JENSEN,1452.0,Décor,Design,Home,M&O Paris Sep 2018,,,,,0.2425797216422986,0.9379131723636208,0.38546393194209516,,,,0.3285282139824084,0.2614636047694368,0.18545910558866935,0.21699862262839506,0.2614679390524343,0.19323041583141823,0.22222890427035508,0.2672112451735488,olssonjensen,0.27130875036142105,0.24682341455151438,0.3485125370270899,0.28898323434001366,0.24966926142322535,0.212778697541486,0.22975255585821494,0.24216102830936914,0.24809211258765942,0.34085908996815284,0.28716963768111947,0.27534528595593094,olssonjensen
BITOSSI HOME,1453.0,Décor,Design,Home,M&O Paris Sep 2018,,,,,,,,,,,,0.2618638465870815,0.3194135851328702,0.28778984178887285,0.26185865716495604,0.3343017757912638,0.2936787121630033,0.29489125745090233,bitossi,0.23300393767813565,0.23464694524224355,0.22873659403308572,0.23165407704777438,0.26013205268284634,0.05756857197854537,0.09427385177325445,0.11068385034585565,0.25539839023546157,0.4492272324707416,0.3256535338079719,0.1470401857522585,bitossihome
LLADRÓ,1454.0,Home,Décor,Lighting,M&O Paris Sep 2018,,0.22942184301593815,0.318312121021625,0.26665409944921864,0.30847890419708474,0.7822334133979799,0.4424677383737761,0.27848113112122247,0.11771347430349212,0.16547919140446007,0.3016884667263264,0.2656654983626345,0.5587972888825847,0.36012094792224164,0.2656283832613605,0.5500301462754945,0.3582470193332727,0.4646988799586808,Lladro,0.4437885687359605,0.23917025682108195,0.28356460730157657,0.2594822905777085,0.2847021767049665,0.3433951009798677,0.3113063412061043,0.296501929164875,0.26435569850641927,0.7131375848917643,0.38572538059772726,0.42184302583611855,lladro
LINDEBJERG DESIGN,1455.0,Furniture,Design,Lifestyle,M&O Paris Sep 2018,,,,,,,,0.24013262432716942,0.46991378187980426,0.3178429710055033,0.2774797182347501,0.26180128188157586,0.9998922319020546,0.41495508250711294,0.26180961183182727,0.9999161362797006,0.4149676043238339,0.48342622860249457,cabinetbylindebjergdesign,0.35602535856073747,0.233187049371635,0.7534082075738614,0.35614409386163637,0.23947244841146775,0.08507209043126335,0.12554469016610734,0.14979183343134733,0.24440360570415837,0.18577459126576298,0.2110938223898104,0.1407380310213696,lindebjergdesign
SOLCION,1456.0,Stool,Creative,Glamping,,,,,,0.2377299763862446,0.3381726610997887,0.2791922575269538,0.2298495383569864,0.37517742782445435,0.2850595540614357,0.2782166744311926,0.2613886652890766,0.200990147269345,0.22724460941579602,0.2613976165860301,0.24956468766402035,0.2553441379013646,0.258763630320683,solcion,0.3296902161101765,0.22984019391525473,0.4096983606073591,0.294478417236463,0.2312593342570081,0.3879001809407994,0.2897655140578219,0.29092954058432235,0.24209055441263783,0.6341728216070334,0.350413481101205,0.38785649513809967,solcion_staff
BLANCREME PARIS,1457.0,Beauty,Skincare,Health,M&O Paris Sep 2018,,0.5351676335885097,4.5440825561160754e-08,9.088164340560502e-08,0.2557406660498765,0.11839054411503229,0.1618537870317747,0.36394866449417973,0.9936677559255223,0.5327632271981824,4.5440737405727743e-07,0.2620288721439236,0.3081793130383509,0.28323647366694626,0.2620295889049074,0.3070755292635555,0.28276981572275445,0.044771309879966886,blancreme,0.19278739367095724,,,,,,,,,,,,
HOUSE OF SAKK,1458.0,Bags,Furniture,Luxury,M&O Paris Sep 2018,,0.230275423891174,0.3749552510915935,0.28532254875480884,0.2430015694713419,0.5002735193589904,0.32711240345884,0.22501357861309149,0.26210239505142097,0.2421460229682427,0.2975180278096578,0.26141909453279044,0.21709995166975335,0.23720716338884063,0.2614276478909069,0.2007339201350393,0.22709545848640686,0.28230249967857357,houseofsakk,0.3254838673921925,0.23417638553556497,0.466346519801654,0.3117880702606596,0.23253962700797656,0.3015469841607598,0.2625852127941453,0.273370261431137,0.2426966204755456,0.7451156632850301,0.3661364741370282,0.3635722686624843,house
TASSOTTI - ITALY,1459.0,Décor,Home,Lifestyle,M&O Paris Sep 2018,,0.2349543883623851,0.5715218519518942,0.33300811716106143,0.2586264022398464,0.21340481426954247,0.23384944641302816,0.24081201318330475,0.2765661215954863,0.25745364963358275,0.2536025401206226,0.26166059264568725,0.30400415647758855,0.2812475335398443,0.2616606727503735,0.2958994364891511,0.277728784162162,0.31397764968378183,GraficheTassotti,0.36005568401923554,0.2343167856601409,0.5024253151333476,0.31958723344175655,0.23633648977397095,0.4437804134972819,0.3084219923131621,0.3111395193248678,0.24292502017182802,0.4862437101221584,0.3239874618381561,0.4008718332437034,grafichetassotti
COTE BOUGIE,1460.0,Candles,Eco-Friendly,Design,M&O Paris Sep 2018,,,,,,,,,,,,0.26166657981343333,0.23591518265844494,0.24812452396016235,0.26167029699672545,0.20713061411894107,0.23122791798604156,0.25218593445571147,COTEBOUGIEMARRAKECH,0.3383160810131307,0.23436741678429526,0.33105606494761813,0.274444756043346,0.23805964298815566,0.45365240430963477,0.3122580554511475,0.3018603915201021,0.2443205534714095,0.678311474648234,0.3592449207509493,0.40659291165349415,cotebougie
VILLA LUMI,1461.0,Lighting,Décor,Handmade,M&O Paris Sep 2018,,,,,,,,,,,,0.26150304034094246,0.45862099367259046,0.333083687100805,0.26150556527985336,0.5021247170441632,0.34390571199455067,0.33536837878505105,villa,0.2958141943098248,0.22876774514737,0.3519303379687414,0.27728801663690933,0.229610662402481,0.45314712832797827,0.3047857196615871,0.2974123779078026,0.24246001214428467,0.18885238595377796,0.21232476503687045,0.25008023836646526,villa
LEMUS,1462.0,Lifestyle,Home,Furniture,M&O Paris Sep 2018,,0.2482200567951716,0.10595105744198748,0.14851113734898344,0.23936640582682392,0.042119280283199965,0.0716337720523485,0.2409149573403519,0.2745228449116744,0.25662324021205635,0.09522004405560322,0.261573210148329,0.7097161665388184,0.3822604064895902,0.2615775374848683,0.7116215218294866,0.38254086565298406,0.19658609491663714,lemussound,0.21383181935725215,0.229525956544255,0.2086031366849561,0.2185649628188364,0.23229369946214345,0.21370545589663564,0.22261221954799051,0.22158641798570491,0.24381201920560558,0.25874626080653357,0.25105724377923844,0.2297868604265526,lemus_dk
IFDM,1463.0,Furniture,Design,Luxury,M&O Paris Sep 2018,,0.230275423891174,0.36434074776528164,0.28219454542837663,0.2380877824956761,0.34307374373097976,0.28109798460933416,0.22902635535365654,0.3539880862403485,0.2781152419092204,0.2807140233155915,0.26177149806435185,0.13715665190279483,0.18000084597209925,0.26176132293161947,0.12995143752092497,0.17367961239273463,0.17261974004584504,ifdmdesign,0.2425544780907203,0.22894807417569069,0.339064289118447,0.27333248721989295,0.2304315875393863,0.43860391334097054,0.3021310406373225,0.2943770829622018,0.2450886586948401,0.2639346808603408,0.2541627932881814,0.2964249905629219,ifdmdesign
Vincero Watches,1464.0,Lifestyle,Design,Watches,,,,,,,,,,,,,0.27212792675650316,0.9304905579582282,0.42110190325860164,0.27198355115782813,0.9286637163928662,0.4207418152564001,0.38573961169126497,vincerowatches,0.3938359367334105,0.35709699188868954,0.1997463530914862,0.2561899050162668,0.4094442149617624,0.22087183397331203,0.286950315865058,0.2785878884826449,0.3452178463292621,0.7134162629845436,0.46528639815588996,0.4017691403002948,vincerowatches
THERESIENTHAL,1465.0,Glassware,Handmade,Luxury,M&O Paris Sep 2018,,,,,,,,,,,,0.2613945270357683,0.15366460144043567,0.19354874069690708,0.2614041660888011,0.15851024971377495,0.19735087952987956,0.18827160723899103,Theresienthalmanufakturverkauf,0.2527118799591398,0.2333013527055654,0.48120906304672,0.31424797418740325,0.23523056762420824,0.3692544377845212,0.2873848986182196,0.2936606984499927,0.2422891461822062,0.281911558269348,0.2606028956921715,0.30377687609923915,theresienthal_glass
TINA FREY DESIGNS,1466.0,Home,Tableware,Furniture,M&O Paris Sep 2018,,,,,,,,,,,,0.2615271676895406,0.17895060246143626,0.2124985522063244,0.26153148103688073,0.1826225132163483,0.2150674629525823,0.2105709179476475,tinafreydesigns,0.26726389004712614,0.23223690014648385,0.3208508259306239,0.26944514481299126,0.23299821509772842,0.23610042800653067,0.23453906387490855,0.2423893273150408,0.24582693140724102,0.4609425954023035,0.3206479608540686,0.31387873830657875,tinafreydesigns
CARE BY ME,1467.0,Clothing,Scarves,Fashion,M&O Paris Sep 2018,,0.281041030571138,0.0004044540889363836,0.0008077457281695506,0.2497116241365782,0.11161431906992327,0.15427285760059584,0.24149940075627005,0.11345088717708172,0.1543783577585206,0.00395589333016328,0.26159746981774035,0.8884370914172457,0.4041841924427089,0.26161078276718686,0.9205574273936517,0.40743397951774635,0.10134778210995672,carebyme,0.2074501154851865,0.24984863675639768,0.19324899547735327,0.21793390242757538,0.2340415943477002,0.3418344080280471,0.2778496396020538,0.2599807597511464,0.24351340853405612,0.28175508654019793,0.2612421728644221,0.2753175037861326,carebyme
LINDFORM,1468.0,Design,Décor,Vases,M&O Paris Sep 2018,,,,,,,,,,,,0.2614073271946835,0.40037881994866226,0.31630144462806653,0.2614143353699949,0.45482039095936955,0.332004483571185,0.32154637433616917,Lindform,0.27391770788322245,0.23309863676335832,0.4022817339927572,0.2951659450131324,0.23197712601105164,0.12496094730519725,0.16242639038281884,0.1830007851687949,0.24338480629079226,0.6512238333107159,0.3543403886483293,0.21603182759783557,lindform_ab
MOUNTAIN HARD WEAR,1469.0,Sports,Clothing,Glamping,,,0.230275423891174,0.36434074776528164,0.28219454542837663,0.2584270111968972,0.11722093851174178,0.16128429191630445,0.2298495383569864,0.37166522574471544,0.2840398462649349,0.1948179752059463,0.26217363482867695,0.20961230001264117,0.2329650569917771,0.2621498387345286,0.19779598450443617,0.2254708394785682,0.1991198372550507,mountainhardwear,0.27346797023193703,0.22930635561126095,0.3142507573617211,0.2651412122069928,0.2766398794590951,0.44337797856255684,0.34070274557183144,0.3180432753927039,0.2465712291594234,0.2965659802024702,0.2692676436265636,0.33154298649959907,mountainhardwear
