Unnamed: 0,fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
0,WeltonLondon,weltonlondon,CHRISTIAN LACROIX,Candle,Décor,Design,M&O Paris Sep 2018,,1,3419.61764175188,3475.82663672845,,,,,,,,,,,-0.144272846691715,-0.142966463464482,,,,,,
1,marcvidalsarl,,MARC VIDAL,Game,Gifts,Stationery,M&O Paris Sep 2018,,2,332.78789452104,376.709749248829,12.1165736791887,1.07645960681592,5.35531861277764,2,,,,,,,0.289175160229799,0.303062454110999,-0.000138732759699,-0.003417289686483,0.004501161017967,,,
2,,smartshow001,SmartShow,Lifestyle,Bottles Aug,Drinkware,,,3,,,,,,,1217.18505834543,741.803871786738,64,,,,,,,,,-0.126567651442315,,
3,Playhao,playhao,PlayHao,Kids,Toy,Siblings,,,4,2349.58346737289,2423.39923711237,,,,,62,1375.05171011477,355.096088789183,-2.80608922325343,0.288426098713907,-1.02818364258792,0.645200974825468,0.719975173039116,,,,3.35498929105699,0.001016972507009,0.013964872542537
4,myhjem,myhjem,HJEM,Candles,Lifestyle,,,,5,1536.87061192269,1614.86324726809,42.3861059510972,1.93096173277114,6.26864744736531,1.43682901986351,1042.06700582533,1525.69129474821,989.856002673347,59.0675314885175,2.20724587640867,59.3076587462499,-0.112537566576317,-0.056167313053949,-0.000538566887365,0.001695500201153,0.002212419574373,0.39105440806203,-0.00658515316487,-0.06748605826308
5,hkgleeman,,Leatherweight,Lifestyle,Home,Tech,,,6,137.09425081038,146.115878670734,,,,,,,,,,,-0.001079486036723,-0.001079160902094,,,,,,
6,sudtradingcompany,,SUD TRADING COMPANY,Décor,Design,Fashion,M&O Paris Sep 2018,,7,186.027741018451,205.130049792435,,,,,,,,,,,0.013816197114885,0.013818513599667,,,,,,
7,touchablebangkok,,TOUCHABLE,Furniture,Lighting,Accessories,M&O Paris Sep 2018,,8,261.304128849534,274.545366034512,2.32752479932899,-0.346636414251171,6.34082378991785,0.848002694056649,,,,,,,0.063832550233071,0.085507299837878,-3.22E-05,-0.000131855701895,-0.022069021775949,,,
8,,kifuparis,KIFU PARIS,Furniture,Home,Décor,M&O Paris Sep 2018,,9,,,,,,,0,2159.92937659643,751.941634192897,14.0624215924671,0.882427645205561,35.5491949235439,,,,,,1.07948129391777,0.001388282981397,0.022550380556688
9,BLACKDesignTW,,Black Design,Lifestyle,Glamping,Outdoor,,,10,24748.3537415889,25815.4469750095,,,,,,,,,,,13.4225325217564,14.8596997636588,,,,,,
